Sensor_ID,Entity_ID,Sensor_Type_Threshold_,Sensor_Reading,Status,Lower_Non_Recoverable,Lower_Critical,Lower_Non_Critical,Upper_Non_Critical,Upper_Critical,Upper_Non_Recoverable,Positive_Hysteresis,Negative_Hysteresis,Assertion_Events,Assertions_Enabled,Time_elapsed
Total Power,215.0,13.01012,Unknown,13.01012,280,13.01012,ok,13.01012,0.000,13.01012,0.000,13.01012,0.000,13.01012,1785.000,13.01012,1785.000,13.01012,1785.000,13.01012,Unspecified,13.01012,Unspecified,13.01012,,13.01012,,13.01012
Total Power,215.0,13.32241,Unknown,13.32241,280,13.32241,ok,13.32241,0.000,13.32241,0.000,13.32241,0.000,13.32241,1785.000,13.32241,1785.000,13.32241,1785.000,13.32241,Unspecified,13.32241,Unspecified,13.32241,,13.32241,,13.32241
Total Power,215.0,13.70991,Unknown,13.70991,280,13.70991,ok,13.70991,0.000,13.70991,0.000,13.70991,0.000,13.70991,1785.000,13.70991,1785.000,13.70991,1785.000,13.70991,Unspecified,13.70991,Unspecified,13.70991,,13.70991,,13.70991
Total Power,215.0,13.97795,Unknown,13.97795,280,13.97795,ok,13.97795,0.000,13.97795,0.000,13.97795,0.000,13.97795,1785.000,13.97795,1785.000,13.97795,1785.000,13.97795,Unspecified,13.97795,Unspecified,13.97795,,13.97795,,13.97795
Total Power,215.0,14.26974,Unknown,14.26974,280,14.26974,ok,14.26974,0.000,14.26974,0.000,14.26974,0.000,14.26974,1785.000,14.26974,1785.000,14.26974,1785.000,14.26974,Unspecified,14.26974,Unspecified,14.26974,,14.26974,,14.26974
Total Power,215.0,14.56978,Unknown,14.56978,280,14.56978,ok,14.56978,0.000,14.56978,0.000,14.56978,0.000,14.56978,1785.000,14.56978,1785.000,14.56978,1785.000,14.56978,Unspecified,14.56978,Unspecified,14.56978,,14.56978,,14.56978
Total Power,215.0,14.92623,Unknown,14.92623,294,14.92623,ok,14.92623,0.000,14.92623,0.000,14.92623,0.000,14.92623,1785.000,14.92623,1785.000,14.92623,1785.000,14.92623,Unspecified,14.92623,Unspecified,14.92623,,14.92623,,14.92623
Total Power,215.0,15.14563,Unknown,15.14563,294,15.14563,ok,15.14563,0.000,15.14563,0.000,15.14563,0.000,15.14563,1785.000,15.14563,1785.000,15.14563,1785.000,15.14563,Unspecified,15.14563,Unspecified,15.14563,,15.14563,,15.14563
Total Power,215.0,15.38953,Unknown,15.38953,294,15.38953,ok,15.38953,0.000,15.38953,0.000,15.38953,0.000,15.38953,1785.000,15.38953,1785.000,15.38953,1785.000,15.38953,Unspecified,15.38953,Unspecified,15.38953,,15.38953,,15.38953
Total Power,215.0,15.76227,Unknown,15.76227,294,15.76227,ok,15.76227,0.000,15.76227,0.000,15.76227,0.000,15.76227,1785.000,15.76227,1785.000,15.76227,1785.000,15.76227,Unspecified,15.76227,Unspecified,15.76227,,15.76227,,15.76227
Total Power,215.0,15.97873,Unknown,15.97873,294,15.97873,ok,15.97873,0.000,15.97873,0.000,15.97873,0.000,15.97873,1785.000,15.97873,1785.000,15.97873,1785.000,15.97873,Unspecified,15.97873,Unspecified,15.97873,,15.97873,,15.97873
Total Power,215.0,16.20191,Unknown,16.20191,294,16.20191,ok,16.20191,0.000,16.20191,0.000,16.20191,0.000,16.20191,1785.000,16.20191,1785.000,16.20191,1785.000,16.20191,Unspecified,16.20191,Unspecified,16.20191,,16.20191,,16.20191
Total Power,215.0,16.61483,Unknown,16.61483,294,16.61483,ok,16.61483,0.000,16.61483,0.000,16.61483,0.000,16.61483,1785.000,16.61483,1785.000,16.61483,1785.000,16.61483,Unspecified,16.61483,Unspecified,16.61483,,16.61483,,16.61483
Total Power,215.0,16.87149,Unknown,16.87149,294,16.87149,ok,16.87149,0.000,16.87149,0.000,16.87149,0.000,16.87149,1785.000,16.87149,1785.000,16.87149,1785.000,16.87149,Unspecified,16.87149,Unspecified,16.87149,,16.87149,,16.87149
Total Power,215.0,17.12172,Unknown,17.12172,294,17.12172,ok,17.12172,0.000,17.12172,0.000,17.12172,0.000,17.12172,1785.000,17.12172,1785.000,17.12172,1785.000,17.12172,Unspecified,17.12172,Unspecified,17.12172,,17.12172,,17.12172
Total Power,215.0,17.38967,Unknown,17.38967,294,17.38967,ok,17.38967,0.000,17.38967,0.000,17.38967,0.000,17.38967,1785.000,17.38967,1785.000,17.38967,1785.000,17.38967,Unspecified,17.38967,Unspecified,17.38967,,17.38967,,17.38967
Total Power,215.0,17.62600,Unknown,17.62600,294,17.62600,ok,17.62600,0.000,17.62600,0.000,17.62600,0.000,17.62600,1785.000,17.62600,1785.000,17.62600,1785.000,17.62600,Unspecified,17.62600,Unspecified,17.62600,,17.62600,,17.62600
Total Power,215.0,17.93874,Unknown,17.93874,315,17.93874,ok,17.93874,0.000,17.93874,0.000,17.93874,0.000,17.93874,1785.000,17.93874,1785.000,17.93874,1785.000,17.93874,Unspecified,17.93874,Unspecified,17.93874,,17.93874,,17.93874
Total Power,215.0,18.17802,Unknown,18.17802,315,18.17802,ok,18.17802,0.000,18.17802,0.000,18.17802,0.000,18.17802,1785.000,18.17802,1785.000,18.17802,1785.000,18.17802,Unspecified,18.17802,Unspecified,18.17802,,18.17802,,18.17802
Total Power,215.0,18.43352,Unknown,18.43352,315,18.43352,ok,18.43352,0.000,18.43352,0.000,18.43352,0.000,18.43352,1785.000,18.43352,1785.000,18.43352,1785.000,18.43352,Unspecified,18.43352,Unspecified,18.43352,,18.43352,,18.43352
Total Power,215.0,18.68781,Unknown,18.68781,315,18.68781,ok,18.68781,0.000,18.68781,0.000,18.68781,0.000,18.68781,1785.000,18.68781,1785.000,18.68781,1785.000,18.68781,Unspecified,18.68781,Unspecified,18.68781,,18.68781,,18.68781
Total Power,215.0,18.95841,Unknown,18.95841,315,18.95841,ok,18.95841,0.000,18.95841,0.000,18.95841,0.000,18.95841,1785.000,18.95841,1785.000,18.95841,1785.000,18.95841,Unspecified,18.95841,Unspecified,18.95841,,18.95841,,18.95841
Total Power,215.0,19.19880,Unknown,19.19880,315,19.19880,ok,19.19880,0.000,19.19880,0.000,19.19880,0.000,19.19880,1785.000,19.19880,1785.000,19.19880,1785.000,19.19880,Unspecified,19.19880,Unspecified,19.19880,,19.19880,,19.19880
Total Power,215.0,19.62248,Unknown,19.62248,315,19.62248,ok,19.62248,0.000,19.62248,0.000,19.62248,0.000,19.62248,1785.000,19.62248,1785.000,19.62248,1785.000,19.62248,Unspecified,19.62248,Unspecified,19.62248,,19.62248,,19.62248
Total Power,215.0,19.82956,Unknown,19.82956,315,19.82956,ok,19.82956,0.000,19.82956,0.000,19.82956,0.000,19.82956,1785.000,19.82956,1785.000,19.82956,1785.000,19.82956,Unspecified,19.82956,Unspecified,19.82956,,19.82956,,19.82956
Total Power,215.0,20.06698,Unknown,20.06698,315,20.06698,ok,20.06698,0.000,20.06698,0.000,20.06698,0.000,20.06698,1785.000,20.06698,1785.000,20.06698,1785.000,20.06698,Unspecified,20.06698,Unspecified,20.06698,,20.06698,,20.06698
Total Power,215.0,20.33861,Unknown,20.33861,315,20.33861,ok,20.33861,0.000,20.33861,0.000,20.33861,0.000,20.33861,1785.000,20.33861,1785.000,20.33861,1785.000,20.33861,Unspecified,20.33861,Unspecified,20.33861,,20.33861,,20.33861
Total Power,215.0,20.63814,Unknown,20.63814,315,20.63814,ok,20.63814,0.000,20.63814,0.000,20.63814,0.000,20.63814,1785.000,20.63814,1785.000,20.63814,1785.000,20.63814,Unspecified,20.63814,Unspecified,20.63814,,20.63814,,20.63814
Total Power,215.0,21.03845,Unknown,21.03845,273,21.03845,ok,21.03845,0.000,21.03845,0.000,21.03845,0.000,21.03845,1785.000,21.03845,1785.000,21.03845,1785.000,21.03845,Unspecified,21.03845,Unspecified,21.03845,,21.03845,,21.03845
Total Power,215.0,21.29125,Unknown,21.29125,273,21.29125,ok,21.29125,0.000,21.29125,0.000,21.29125,0.000,21.29125,1785.000,21.29125,1785.000,21.29125,1785.000,21.29125,Unspecified,21.29125,Unspecified,21.29125,,21.29125,,21.29125
